Clave,N1,N2,N3,N4,N5,N6,N7,Nivel,Sintoma,Grado,symptom_id,symptom_type
"55,2",55,2,0,0,0,0,0,1,    Esta consciente actualmente,,1-55200000,1
"55,2,1",55,2,1,0,0,0,0,2,        Cuando se golpeó tuvo pérdida de conocimiento [Grado : 1],[Grado : 1],1-55210000,1
"55,2,2",55,2,2,0,0,0,0,2,        Cuando se golpeó no tuvo pérdida de conocimiento,,1-55220000,1
"55,2,2,1",55,2,2,1,0,0,0,3,            Tiene dificultad para hablar [Grado : 1],[Grado : 1],1-55221000,1
"55,2,2,2",55,2,2,2,0,0,0,3,            No tiene dificultad para hablar,,1-55222000,1
"55,2,2,2,1",55,2,2,2,1,0,0,4,                Tiene herida que sangra [Grado : 2],[Grado : 2],1-55222100,1
"55,2,2,2,2",55,2,2,2,2,0,0,4,                No tiene herida que sangra [Grado : 3],[Grado : 3],1-55222200,1
56,56,0,0,0,0,0,0,0,EMBARAZO A TERMINO,,1-56000000,1
"56,1",56,1,0,0,0,0,0,1,    El niño está saliendo [Grado: 1],[Grado: 1],1-56100000,1
"56,2",56,2,0,0,0,0,0,1,    No está saliendo,,1-56200000,1
"56,2,1",56,2,1,0,0,0,0,2,        Perdió sangre [Grado: 1],[Grado: 1],1-56210000,1
"56,2,2",56,2,2,0,0,0,0,2,        No perdió sangre,,1-56220000,1
"56,2,2,1",56,2,2,1,0,0,0,3,            Tiene contracciones,,1-56221000,1
"56,2,2,1,1",56,2,2,1,1,0,0,4,                Primer embarazo,,1-56221100,1
"56,2,2,1,1,1",56,2,2,1,1,1,0,5,                    Contracciones cada 2 minutos o menos [Grado : 1],[Grado : 1],1-56221110,1
"56,2,2,1,1,2",56,2,2,1,1,2,0,5,                    Contracciones cada más de 2 minutos [Grado : 2],[Grado : 2],1-56221120,1
"56,2,2,1,2",56,2,2,1,2,0,0,4,                Embarazos previos,,1-56221200,1
"56,2,2,1,2,1",56,2,2,1,2,1,0,5,                    Contracciones cada 5 minutos o menos [Grado : 1],[Grado : 1],1-56221210,1
"56,2,2,1,2,2",56,2,2,1,2,2,0,5,                    Contracciones cada más de 5 minutos [Grado : 2],[Grado : 2],1-56221220,1
"56,2,2,2",56,2,2,2,0,0,0,3,            No tiene contracciones,,1-56222000,1
"56,2,2,2,1",56,2,2,2,1,0,0,4,                Perdió líquido o rompió bolsa [Grado : 2],[Grado : 2],1-56222100,1
"56,2,2,2,2",56,2,2,2,2,0,0,4,                No Perdió líquido ni rompió bolsa [Grado:3],[Grado:3],1-56222200,1
57,57,0,0,0,0,0,0,0,TEMBLOR,,1-57000000,1
"57,1",57,1,0,0,0,0,0,1,    No se mantiene parado [Grado : 3],[Grado : 3],1-57100000,1
"57,2",57,2,0,0,0,0,0,1,    Se mantiene parado,,1-57200000,1
"57,2,1",57,2,1,0,0,0,0,2,        Tiene Fiebre [Grado : 3],[Grado : 3],1-57210000,1
"57,2,2",57,2,2,0,0,0,0,2,        No tiene fiebre [Grado : 3],[Grado : 3],1-57220000,1
58,58,0,0,0,0,0,0,0,VICTIMAS MULTIPLES [Grado : 1],[Grado : 1],1-58000000,1
59,59,0,0,0,0,0,0,0,PALPITACIONES [Nota : (REALIZAR ECG)] Igual que en arritmias,,1-59000000,1
"59,1",59,1,0,0,0,0,0,1,    Tiene alteración de la conciencia [Grado : 2],[Grado : 2],1-59100000,1
"59,2",59,2,0,0,0,0,0,1,    No tiene alteración de la conciencia,,1-59200000,1
"59,2,1",59,2,1,0,0,0,0,2,        Respira Mal [Grado : 2],[Grado : 2],1-59210000,1
"59,2,2",59,2,2,0,0,0,0,2,        No respira Mal,,1-59220000,1
"59,2,2,1",59,2,2,1,0,0,0,3,            Tiene dolor de pecho [Grado : 2],[Grado : 2],1-59221000,1
"59,2,2,2",59,2,2,2,0,0,0,3,            No tiene dolor de pecho [Grado : 3],[Grado : 3],1-59222000,1
60,60,0,0,0,0,0,0,0,VIA PUBLICA [Grado : 1],[Grado : 1],1-60000000,1
61,61,0,0,0,0,0,0,0,GALENO EN QTH,,1-61000000,1
"61,1",61,1,0,0,0,0,0,1,    Requiere grado 1 [Grado : 1],[Grado : 1],1-61100000,1
"61,2",61,2,0,0,0,0,0,1,    Requiere grado 2 [Grado : 2],[Grado : 2],1-61200000,1
"61,3",61,3,0,0,0,0,0,1,    Requiere grado 3 [Grado : 3],[Grado : 3],1-61300000,1
62,62,0,0,0,0,0,0,0,HERIDA CORTANTE,,1-62000000,1
"62,1",62,1,0,0,0,0,0,1,    Con sangrado activo [Grado : 2],[Grado : 2],1-62100000,1
"62,2",62,2,0,0,0,0,0,1,    Sin sangrado activo [Grado : 3P],[Grado : 3P],1-62200000,1
97,97,0,0,0,0,0,0,0,PERDIDA DE CONOCIMIENTO [Nota : (REALIZAR ECG)],,1-97000000,1
"97,1",97,1,0,0,0,0,0,1,    No se recupero [Grado : 1],[Grado : 1],1-97100000,1
"97,2",97,2,0,0,0,0,0,1,    Se Recupero,,1-97200000,1
"97,2,1",97,2,1,0,0,0,0,2,        Respira mal [Grado : 2],[Grado : 2],1-97210000,1
"97,2,2",97,2,2,0,0,0,0,2,        Respira bien,,1-97220000,1
"97,2,2,1",97,2,2,1,0,0,0,3,            Habla con dificultad [Grado : 2],[Grado : 2],1-97221000,1
"97,2,2,2",97,2,2,2,0,0,0,3,            Habla sin dificultad,,1-97222000,1
"97,2,2,2,1",97,2,2,2,1,0,0,4,                Tuvo traumatismo [Grado : 2],[Grado : 2],1-97222100,1
"97,2,2,2,2",97,2,2,2,2,0,0,4,                No tuvo traumatismo [Grado : 3P],[Grado : 3P],1-97222200,1
100,100,0,0,0,0,0,0,0,CONTROL DE AUSENTISMO [Grado : 3],[Grado : 3],1-100000000,1
101,101,0,0,0,0,0,0,0,PARESIA (DIFICULTAD MOV. DE 1 O MAS MIEMBROS O BOCA [Nota : No confundir c/PARESTESIA],,1-101000000,1
"101,1",101,1,0,0,0,0,0,1,    Menor de tres horas de evolución [Grado : 2],[Grado : 2],1-101100000,1
"101,2",101,2,0,0,0,0,0,1,    Mayor de tres horas de evolución,,1-101200000,1
"101,2,1",101,2,1,0,0,0,0,2,        No moviliza bien resto miembros [Grado: 2],[Grado: 2],1-101210000,1
"101,2,2",101,2,2,0,0,0,0,2,        Moviliza bien el resto de los miembros.,,1-101220000,1
"101,2,2,1",101,2,2,1,0,0,0,3,            Habla mal [Grado : 2],[Grado : 2],1-101221000,1
"101,2,2,1",101,2,2,1,0,0,0,3,            Tiene antecedentes de enfermedad neurológica [Grado : 3],[Grado : 3],1-101221000,1
"101,2,2,2",101,2,2,2,0,0,0,3,            Habla bien,,1-101222000,1
"101,2,2,2",101,2,2,2,0,0,0,3,            No tiene antecedentes de enfermedad neurológica [Grado:3],[Grado:3],1-101222000,1
102,102,0,0,0,0,0,0,0,CUERPO EXTRAÑO EN NARIZ,,1-102000000,1
"102,1",102,1,0,0,0,0,0,1,    Respira mal [Grado : 2],[Grado : 2],1-102100000,1
"102,2",102,2,0,0,0,0,0,1,    Respira bien,,1-102200000,1
"102,2,1",102,2,1,0,0,0,0,2,        Está sangrando [Grado : 2],[Grado : 2],1-102210000,1
"102,2,2",102,2,2,0,0,0,0,2,        No está sangrando [Grado : 3],[Grado : 3],1-102220000,1
103,103,0,0,0,0,0,0,0,CUERPO EXTRAÑO EN OIDO,,1-103000000,1
"103,1",103,1,0,0,0,0,0,1,    Está sangrando [Grado : 2],[Grado : 2],1-103100000,1
"103,2",103,2,0,0,0,0,0,1,    No está sangrando [Grado : 3P],[Grado : 3P],1-103200000,1
104,104,0,0,0,0,0,0,0,CUERPO EXTRAÑO EN OJO,,1-104000000,1
"104,1",104,1,0,0,0,0,0,1,    Está con mucho dolor o irritación [Grado : 3P],[Grado : 3P],1-104100000,1
"104,2",104,2,0,0,0,0,0,1,    Está solamente con molestias leves [Grado : 3],[Grado : 3],1-104200000,1
105,105,0,0,0,0,0,0,0,EDEMAS EN MI,,1-105000000,1
"105,1",105,1,0,0,0,0,0,1,    En un solo miembro,,1-105100000,1
"105,1,1",105,1,1,0,0,0,0,2,        Está azul o blanco [Grado : 2],[Grado : 2],1-105110000,1
"105,1,2",105,1,2,0,0,0,0,2,        No está azul ni blanco [Grado : 3],[Grado : 3],1-105120000,1
"105,2",105,2,0,0,0,0,0,1,    En ambos miembros,,1-105200000,1
"105,2,1",105,2,1,0,0,0,0,2,        Respirar mal [Grado : 2],[Grado : 2],1-105210000,1
"105,2,2",105,2,2,0,0,0,0,2,        No le ingreso ninguna sustancia irritativa [Grado : 3],[Grado : 3],1-105220000,1
"105,2,2",105,2,2,0,0,0,0,2,        Respira bien [Grado : 3],[Grado : 3],1-105220000,1
106,106,0,0,0,0,0,0,0,IRRITACIÓN OCULAR,,1-106000000,1
"106,1",106,1,0,0,0,0,0,1,    Tuvo un traumatismo [Grado : 2],[Grado : 2],1-106100000,1
"106,2",106,2,0,0,0,0,0,1,    No tuvo traumatismo,,1-106200000,1
"106,2,1",106,2,1,0,0,0,0,2,        Le ingreso alguna sustancia irritativa [Grado : 2],[Grado : 2],1-106210000,1
107,107,0,0,0,0,0,0,0,DOLOR DE ESPALDA/DORSAL,,1-107000000,1
"107,1",107,1,0,0,0,0,0,1,    Tiene dolor con el movimiento [Grado : 3],[Grado : 3],1-107100000,1
"107,2",107,2,0,0,0,0,0,1,    No tiene dolor con el movimiento [Grado : 3],[Grado : 3],1-107200000,1
108,108,0,0,0,0,0,0,0,DOLOR DE MIEMBROS,,1-108000000,1
"108,1",108,1,0,0,0,0,0,1,    Presentó traumatismo,,1-108100000,1
"108,1,1",108,1,1,0,0,0,0,2,        Evidencia de fractura [Grado : 2],[Grado : 2],1-108110000,1
"108,1,2",108,1,2,0,0,0,0,2,        No tiene evidencia de fractura,,1-108120000,1
"108,1,2,1",108,1,2,1,0,0,0,3,            Está sangrando [Grado : 2],[Grado : 2],1-108121000,1
"108,1,2,2",108,1,2,2,0,0,0,3,            No está sangrando [Grado : 3],[Grado : 3],1-108122000,1
"108,2",108,2,0,0,0,0,0,1,    No presentó traumatismo,,1-108200000,1
"108,2,1",108,2,1,0,0,0,0,2,        Está el miembro azul o blanco [Grado : 2],[Grado : 2],1-108210000,1
"108,2,2",108,2,2,0,0,0,0,2,        No está azul o blanco [Grado : 3],[Grado : 3],1-108220000,1
109,109,0,0,0,0,0,0,0,DOLOR TESTICULAR,,1-109000000,1
"109,1",109,1,0,0,0,0,0,1,    Presentó traumatismo [Grado : 2],[Grado : 2],1-109100000,1
"109,2",109,2,0,0,0,0,0,1,    No presentó traumatismo [Grado : 2],[Grado : 2],1-109200000,1
"109,2,1",109,2,1,0,0,0,0,2,        Tiempo de evolución < 12 hs [Grado : 2],[Grado : 2],1-109210000,1
"109,2,2",109,2,2,0,0,0,0,2,        Tiempo de evolución > 12 hs [Grado : 3],[Grado : 3],1-109220000,1
110,110,0,0,0,0,0,0,0,DOLOR DE OIDOS [Grado : 3],[Grado : 3],1-110000000,1
111,111,0,0,0,0,0,0,0,DOLOR DE GARGANTA [Grado : 3],[Grado : 3],1-111000000,1
112,112,0,0,0,0,0,0,0,DOLOR CORPORAL,,1-112000000,1
"112,1",112,1,0,0,0,0,0,1,    Tiene fiebre [Grado : 3],[Grado : 3],1-112100000,1
"112,2",112,2,0,0,0,0,0,1,    No tiene fiebre [Grado : 3],[Grado : 3],1-112200000,1
113,113,0,0,0,0,0,0,0,EMBARAZO PRIMER TRIMESTRE,,1-113000000,1
"113,1",113,1,0,0,0,0,0,1,    Tiene hemorragia genital o pérdida de líquido [Grado: 2],[Grado: 2],1-113100000,1
"113,2",113,2,0,0,0,0,0,1,    No tiene hemorragia genital ni pérdida de líquido,,1-113200000,1
"113,2,1",113,2,1,0,0,0,0,2,        Tiene dolor abdominal [Grado: 2],[Grado: 2],1-113210000,1
"113,2,2",113,2,2,0,0,0,0,2,        No tiene dolor abdominal,,1-113220000,1
114,114,0,0,0,0,0,0,0,ATRAGANTAMIENTO,,1-114000000,1
"114,1",114,1,0,0,0,0,0,1,    No puede hablar o toser [Grado : 1],[Grado : 1],1-114100000,1
"114,2",114,2,0,0,0,0,0,1,    Puede hablar o toser [Grado : 2],[Grado : 2],1-114200000,1
115,115,0,0,0,0,0,0,0,CONTROL EVOLUTIVO,,1-115000000,1
"115,1",115,1,0,0,0,0,0,1,    Control de infección respiratoria [Grado: 3],[Grado: 3],1-115100000,1
"115,2",115,2,0,0,0,0,0,1,    Control de diarrea/gastroenteritis [Grado: 3],[Grado: 3],1-115200000,1
"115,3",115,3,0,0,0,0,0,1,    Control de Eruptiva [Grado: 3],[Grado: 3],1-115300000,1
"115,4",115,4,0,0,0,0,0,1,    Control de hipertensión arterial [Grado: 3],[Grado: 3],1-115400000,1
"115,5",115,5,0,0,0,0,0,1,    Control de síndrome febril [Grado: 3],[Grado: 3],1-115500000,1
"115,6",115,6,0,0,0,0,0,1,    Control de otras enfermedades [Grado: 3],[Grado: 3],1-115600000,1
